Latency_ms,Packet_Loss_pct,Jitter_ms,Optical_RX_dBm,CRC_Errors,Interface_Status,CPU_Usage_pct,SNMP_Timeout,Hop_Count,Fault_Label,Fault_Category
113.3,4.6,3.9,-22.6,14,0,48.3,1,7,Transport_Failure_MPLS,Software
19.6,1.8,7.5,-20.5,0,1,47.5,0,9,Healthy,
72.4,9.1,7.9,-26.7,10,1,34.8,1,9,Transport_Failure_MPLS,Software
343.2,11.7,7.9,-26.2,4,1,58.8,1,2,Congestion,Software
11.4,2.5,3.5,-21.1,2,1,20.3,0,9,Healthy,
162.8,9.1,2.9,-19.3,15,0,54.9,1,9,Congestion,Software
65.2,2.3,6.4,-18.3,9,1,51.0,0,3,Healthy,
68.2,2.0,4.7,-31.6,124,0,58.7,0,5,OLT_Failure,Hardware
999.0,100.0,7.0,-36.5,14,0,33.4,1,6,Fiber_Cut,Hardware
293.4,12.9,2.2,-27.7,8,0,75.9,1,8,Congestion,Software
69.8,2.2,2.2,-26.2,187,0,46.4,1,9,OLT_Failure,Hardware
141.7,14.4,4.5,-20.2,9,0,61.7,1,7,Congestion,Software
999.0,100.0,2.9,-43.6,5,0,31.5,1,8,Fiber_Cut,Hardware
48.0,2.2,4.8,-18.6,18,1,48.5,0,9,Healthy,
298.9,14.5,8.9,-25.2,7,1,81.3,0,8,Congestion,Software
288.9,14.0,9.8,-20.3,14,0,74.2,0,8,Congestion,Software
33.2,0.6,7.5,-27.8,14,1,59.5,0,2,Healthy,
250.4,13.7,5.4,-22.5,3,0,59.1,1,2,Congestion,Software
192.1,3.9,9.3,-28.0,7,1,39.7,1,2,Transport_Failure_MPLS,Software
38.7,1.7,3.3,-19.6,0,1,34.4,0,9,Healthy,
39.6,2.4,5.5,-27.3,7,1,55.9,0,2,Healthy,
43.1,0.1,9.2,-34.6,116,0,44.3,1,8,OLT_Failure,Hardware
194.7,7.6,2.8,-21.2,11,1,65.4,0,3,Congestion,Software
241.3,9.1,2.7,-27.9,8,0,87.2,1,5,Congestion,Software
183.2,9.0,3.2,-24.4,9,0,49.4,1,2,Transport_Failure_MPLS,Software
55.4,1.4,3.7,-19.3,0,1,34.0,0,6,Healthy,
999.0,100.0,3.4,-36.8,16,0,50.6,1,2,Fiber_Cut,Hardware
42.3,1.1,4.3,-21.1,5,1,51.8,0,7,Healthy,
72.0,1.7,4.7,-24.3,11,1,59.3,0,7,Healthy,
32.1,1.9,9.2,-21.5,0,1,53.2,0,7,Healthy,
113.9,10.1,5.9,-24.7,15,1,32.5,1,3,Transport_Failure_MPLS,Software
151.4,16.8,9.4,-20.4,10,1,79.7,0,3,Congestion,Software
999.0,100.0,3.5,-35.5,0,0,53.9,0,4,Fiber_Cut,Hardware
999.0,100.0,8.8,-39.1,18,0,27.4,0,7,Fiber_Cut,Hardware
36.9,1.0,5.6,-18.2,10,1,37.5,0,4,Healthy,
268.3,6.4,4.9,-24.9,17,1,73.1,1,5,Congestion,Software
174.7,4.7,9.7,-24.5,15,0,57.7,0,6,Transport_Failure_MPLS,Software
69.4,1.7,6.5,-21.5,10,1,58.0,0,3,Healthy,
26.8,0.7,5.9,-25.4,5,1,44.6,0,8,Healthy,
11.6,1.1,3.3,-26.0,7,1,40.4,0,9,Healthy,
95.8,4.7,8.1,-20.2,1,0,53.4,1,8,Transport_Failure_MPLS,Software
41.4,1.3,8.3,-28.0,9,1,38.8,0,2,Healthy,
25.2,0.1,6.6,-22.7,7,1,46.4,0,4,Healthy,
14.1,1.9,8.7,-21.5,3,1,59.2,0,9,Healthy,
14.7,0.4,9.3,-25.0,16,1,41.8,0,4,Healthy,
313.9,10.3,2.5,-20.0,4,1,81.3,0,8,Congestion,Software
57.5,0.8,3.5,-34.1,148,1,48.8,1,9,OLT_Failure,Hardware
194.0,7.7,5.3,-25.4,0,1,30.1,1,9,Transport_Failure_MPLS,Software
999.0,100.0,3.3,-39.6,16,0,36.4,0,3,Fiber_Cut,Hardware
52.0,1.5,8.5,-32.3,206,0,55.0,1,5,OLT_Failure,Hardware
259.9,6.6,5.8,-26.0,14,1,52.3,0,7,Congestion,Software
999.0,100.0,7.8,-39.0,11,0,59.8,1,3,Fiber_Cut,Hardware
68.9,2.1,4.3,-20.3,1,1,23.8,0,5,Healthy,
112.5,6.9,4.8,-27.6,7,1,30.3,1,4,Transport_Failure_MPLS,Software
999.0,100.0,7.9,-44.7,1,0,49.7,1,6,Fiber_Cut,Hardware
15.2,1.3,4.9,-23.2,7,1,30.3,0,5,Healthy,
43.2,1.1,9.0,-23.1,19,1,46.5,0,8,Healthy,
32.7,0.1,7.6,-25.3,19,1,59.9,0,4,Healthy,
143.5,15.1,2.2,-22.3,10,1,78.8,1,5,Congestion,Software
116.7,12.4,5.4,-25.7,15,1,82.9,1,3,Congestion,Software
296.1,9.3,6.7,-23.8,19,1,52.5,1,8,Congestion,Software
39.4,1.5,2.8,-29.7,169,0,53.8,1,8,OLT_Failure,Hardware
999.0,100.0,8.8,-40.4,16,0,24.1,1,4,Fiber_Cut,Hardware
999.0,100.0,7.2,-39.5,8,0,27.3,1,6,Fiber_Cut,Hardware
124.7,8.0,2.3,-19.2,19,1,51.7,1,7,Transport_Failure_MPLS,Software
999.0,100.0,6.9,-42.2,11,0,58.7,1,4,Fiber_Cut,Hardware
0.0,100.0,8.4,-37.6,12,0,24.4,0,2,Fiber_Cut,Hardware
51.7,5.4,2.8,-26.2,5,1,52.3,0,2,Transport_Failure_MPLS,Software
0.0,100.0,2.6,-36.4,17,0,31.4,1,5,Fiber_Cut,Hardware
56.2,2.8,3.2,-23.2,12,1,61.4,0,5,Congestion,Software
45.1,1.7,6.6,-18.7,19,1,53.8,0,5,Healthy,None
47.4,2.4,4.7,-26.9,20,0,22.8,0,5,OLT_Failure,Hardware
42.5,1.3,4.1,-25.4,12,1,42.1,0,2,Healthy,None
48.5,0.8,6.1,-24.8,18,1,59.2,0,2,Healthy,None
69.1,3.1,7.4,-22.7,10,0,57.6,1,3,Transport_Failure_MPLS,Software
24.2,1.1,7.3,-20.5,5,1,34.4,0,5,Healthy,None
21.4,1.1,7.3,-21.1,4,1,23.7,0,4,Healthy,None
38.3,4.5,2.6,-20.7,13,0,46.0,1,2,Transport_Failure_MPLS,Software
71.2,5.8,5.3,-22.1,3,1,46.0,1,3,Congestion,Software
73.9,4.7,9.0,-24.6,3,1,57.1,1,2,Congestion,Software
37.9,0.6,7.5,-28.0,24,0,57.4,1,2,OLT_Failure,Hardware
17.9,0.5,6.9,-20.9,2,1,29.3,0,4,Healthy,None
27.3,1.8,2.2,-28.4,17,0,43.0,1,3,OLT_Failure,Hardware
44.3,6.2,5.1,-24.7,12,1,50.0,1,2,Congestion,Software
39.9,1.8,4.4,-23.5,18,1,57.3,0,2,Healthy,None
16.2,2.4,6.3,-23.8,13,1,38.2,0,3,Healthy,None
32.8,6.5,6.8,-24.6,11,0,72.7,1,4,Congestion,Software
0.0,100.0,3.4,-36.0,5,0,57.9,0,3,Fiber_Cut,Hardware
23.1,1.1,5.7,-28.5,13,1,28.4,1,2,OLT_Failure,Hardware
0.0,100.0,8.9,-36.2,14,0,45.9,1,4,Fiber_Cut,Hardware
20.5,2.3,5.0,-32.4,20,0,27.6,0,4,OLT_Failure,Hardware
12.0,2.5,4.4,-26.4,21,0,57.1,1,5,OLT_Failure,Hardware
41.2,0.6,7.1,-26.9,23,0,27.2,1,2,OLT_Failure,Hardware
47.3,6.3,6.0,-21.3,2,0,28.7,1,4,Transport_Failure_MPLS,Software
33.7,0.7,5.2,-22.7,30,0,23.0,0,2,OLT_Failure,Hardware
50.4,5.5,2.5,-26.8,12,0,21.8,0,4,Transport_Failure_MPLS,Software
45.2,1.6,4.1,-26.6,0,1,33.0,0,5,Healthy,None
0.0,100.0,6.5,-37.5,13,0,37.2,0,5,Fiber_Cut,Hardware
26.6,1.6,5.5,-24.1,1,1,50.3,0,4,Healthy,None
56.8,6.0,8.3,-22.9,9,1,34.5,1,3,Transport_Failure_MPLS,Software
45.0,1.9,7.5,-20.2,15,1,59.5,0,4,Healthy,None
59.8,4.0,4.7,-24.6,2,0,66.1,1,5,Congestion,Software
30.6,0.3,8.6,-24.1,35,1,56.4,0,5,OLT_Failure,Hardware
65.0,5.1,4.8,-27.0,4,1,52.4,0,4,Transport_Failure_MPLS,Software
47.9,1.7,5.3,-23.7,8,1,21.0,0,3,Healthy,None
0.0,100.0,8.6,-39.6,19,0,57.6,1,4,Fiber_Cut,Hardware
34.9,0.1,8.6,-25.0,23,1,41.1,1,3,OLT_Failure,Hardware
42.4,0.2,4.1,-19.3,9,1,35.0,0,5,Healthy,None
48.9,0.6,3.0,-19.4,11,1,43.4,0,5,Healthy,None
83.2,3.8,9.3,-20.2,0,0,54.8,1,2,Congestion,Software
11.3,2.2,3.4,-32.9,30,0,20.8,1,3,OLT_Failure,Hardware
34.1,0.3,2.1,-21.3,3,1,53.3,0,3,Healthy,None
46.4,0.3,2.0,-25.6,11,1,35.7,0,4,Healthy,None
40.7,0.2,8.7,-25.9,7,1,37.4,0,3,Healthy,None
29.6,1.7,2.5,-21.9,8,1,20.3,0,5,Healthy,None
41.5,4.1,5.5,-22.4,10,0,49.7,0,2,Congestion,Software
17.1,0.5,7.2,-20.9,15,1,39.3,0,3,Healthy,None
0.0,100.0,6.7,-39.2,18,0,28.5,1,4,Fiber_Cut,Hardware
56.2,4.5,2.8,-21.4,1,1,53.8,1,2,Congestion,Software
31.4,2.1,9.3,-23.5,19,1,41.6,0,5,Healthy,None
47.7,4.2,8.9,-20.5,7,0,40.3,1,3,Transport_Failure_MPLS,Software
42.0,0.7,8.5,-27.8,9,1,55.3,0,3,Healthy,None
0.0,100.0,7.2,-39.3,11,0,28.6,1,4,Fiber_Cut,Hardware
28.1,1.7,8.1,-27.7,2,1,46.2,0,4,Healthy,None
0.0,100.0,2.2,-35.3,5,0,30.0,0,3,Fiber_Cut,Hardware
45.2,0.2,6.3,-18.5,4,1,49.9,0,3,Healthy,None
30.2,0.5,3.9,-23.3,12,1,35.3,0,4,Healthy,None
0.0,100.0,2.5,-37.0,15,0,41.9,1,3,Fiber_Cut,Hardware
41.7,2.7,4.7,-24.3,5,1,45.6,0,2,Congestion,Software
72.8,3.5,4.9,-23.8,15,1,59.6,1,5,Transport_Failure_MPLS,Software
27.4,0.6,2.1,-22.1,10,1,46.5,0,3,Healthy,None
53.2,6.4,7.7,-26.2,17,1,44.9,1,5,Congestion,Software
0.0,100.0,2.2,-35.1,0,0,31.9,0,5,Fiber_Cut,Hardware
28.5,2.2,2.2,-24.7,6,1,27.1,0,5,Healthy,None
0.0,100.0,7.7,-36.5,2,0,27.2,1,2,Fiber_Cut,Hardware
60.7,4.7,9.6,-23.7,16,1,57.8,1,3,Congestion,Software
0.0,100.0,8.1,-35.4,15,0,31.6,1,4,Fiber_Cut,Hardware
61.3,3.8,8.4,-27.2,18,0,28.0,0,3,Transport_Failure_MPLS,Software
0.0,100.0,5.5,-35.2,14,0,42.3,0,5,Fiber_Cut,Hardware
27.2,0.6,6.8,-22.0,14,1,32.1,0,2,Healthy,None
68.3,3.8,4.6,-20.3,16,0,56.1,1,5,Congestion,Software
44.7,3.0,3.4,-20.0,8,1,46.4,1,5,Transport_Failure_MPLS,Software
44.9,2.4,9.1,-30.5,21,0,44.8,0,5,OLT_Failure,Hardware
44.5,1.2,2.1,-24.4,12,1,22.7,0,3,Healthy,None
47.8,4.6,4.7,-26.1,12,1,48.2,1,4,Transport_Failure_MPLS,Software
22.5,2.1,3.5,-19.0,11,1,48.0,0,4,Healthy,None
25.7,2.5,7.6,-25.0,19,1,41.7,0,3,Healthy,None
38.1,6.0,3.7,-25.3,15,0,64.1,0,4,Congestion,Software
37.6,6.5,9.7,-23.0,9,0,22.2,0,2,Transport_Failure_MPLS,Software
72.5,5.1,10.0,-21.9,4,0,52.7,1,3,Congestion,Software
13.7,1.8,7.7,-29.8,29,0,49.7,1,2,OLT_Failure,Hardware
0.0,100.0,2.4,-39.5,9,0,49.0,0,2,Fiber_Cut,Hardware
27.8,2.4,9.1,-24.4,15,1,49.9,0,4,Healthy,None
33.7,0.9,9.2,-24.9,27,0,41.7,1,2,OLT_Failure,Hardware
29.0,0.3,6.6,-25.2,12,1,33.8,0,5,Healthy,None
68.9,3.9,3.1,-21.4,19,1,42.2,1,5,Transport_Failure_MPLS,Software
17.5,0.3,3.5,-27.8,0,1,28.7,0,3,Healthy,None
0.0,100.0,3.1,-35.0,3,0,30.9,1,3,Fiber_Cut,Hardware
0.0,100.0,4.3,-35.8,2,0,51.9,1,2,Fiber_Cut,Hardware
49.2,1.4,8.2,-25.7,11,1,42.8,0,5,Healthy,None
25.5,2.2,3.5,-24.4,2,1,51.4,0,4,Healthy,None
36.1,5.1,8.9,-27.9,16,1,54.9,1,3,Congestion,Software
47.1,5.1,7.7,-19.8,10,0,73.9,0,4,Congestion,Software
40.0,1.8,6.3,-24.6,28,0,50.9,1,2,OLT_Failure,Hardware
45.5,5.8,4.1,-21.6,15,1,67.0,1,5,Congestion,Software
22.8,1.9,4.6,-21.9,7,1,35.7,0,2,Healthy,None
0.0,100.0,3.2,-37.6,11,0,29.9,1,5,Fiber_Cut,Hardware
21.7,1.0,8.3,-28.0,18,1,26.5,0,3,Healthy,None
21.4,2.4,3.0,-23.0,11,1,45.1,0,3,Healthy,None
27.1,0.8,2.5,-25.3,31,0,29.0,1,4,OLT_Failure,Hardware
10.1,2.1,8.5,-25.8,3,1,25.8,0,4,Healthy,None
20.6,1.8,2.9,-30.1,40,0,53.2,1,4,OLT_Failure,Hardware
69.1,4.3,5.3,-21.7,17,1,40.9,0,3,Transport_Failure_MPLS,Software
12.1,1.6,7.6,-28.8,32,0,20.9,1,4,OLT_Failure,Hardware
48.5,6.5,5.6,-20.2,12,1,67.8,1,3,Congestion,Software
25.8,2.2,6.8,-32.1,26,0,56.7,0,5,OLT_Failure,Hardware
21.7,1.6,3.9,-24.2,4,1,51.1,0,3,Healthy,None
33.5,2.3,4.9,-20.7,4,1,33.3,0,5,Healthy,None
62.6,5.2,9.3,-19.4,0,1,63.2,1,2,Congestion,Software
11.5,0.1,8.6,-30.6,27,1,58.8,0,4,OLT_Failure,Hardware
49.9,0.7,3.2,-26.9,10,1,36.8,0,5,Healthy,None
65.8,4.9,2.8,-22.2,6,1,58.2,0,5,Congestion,Software
34.2,4.2,6.4,-24.8,17,0,57.7,0,4,Transport_Failure_MPLS,Software
39.5,1.8,9.7,-29.6,21,0,58.7,1,3,OLT_Failure,Hardware
48.5,5.2,7.6,-27.1,19,0,76.4,1,3,Congestion,Software
15.2,0.2,5.6,-27.2,3,1,22.3,0,4,Healthy,None
20.5,2.0,5.8,-27.2,29,0,47.9,1,5,OLT_Failure,Hardware
27.4,2.5,9.2,-24.0,14,1,33.5,0,2,Healthy,None
12.0,1.7,4.0,-28.4,13,0,53.3,1,2,OLT_Failure,Hardware
19.6,2.3,5.2,-27.8,3,1,33.3,0,3,Healthy,None
21.9,2.0,8.6,-27.1,11,1,41.8,0,3,Healthy,None
23.5,1.3,2.6,-25.0,23,0,48.7,0,5,OLT_Failure,Hardware
40.4,2.5,4.0,-22.5,6,1,26.2,0,4,Healthy,None
14.0,2.0,4.3,-24.4,16,1,32.0,0,4,Healthy,None
27.9,0.3,6.3,-27.7,14,1,33.4,0,4,Healthy,None
83.1,5.7,4.9,-24.7,13,0,75.5,0,5,Congestion,Software
81.3,3.6,9.5,-20.5,2,1,62.1,1,3,Congestion,Software
17.0,0.8,9.5,-18.1,14,1,35.2,0,4,Healthy,None
34.8,5.2,4.7,-23.4,14,1,61.9,1,4,Congestion,Software
11.9,0.4,5.4,-24.5,1,1,57.1,0,3,Healthy,None
44.2,0.6,3.5,-34.3,21,0,39.0,1,3,OLT_Failure,Hardware
30.2,1.4,3.9,-23.1,29,0,51.1,1,3,OLT_Failure,Hardware
75.5,6.0,9.9,-26.7,6,0,57.6,1,2,Congestion,Software
10.8,2.4,2.7,-25.1,14,1,28.9,0,4,Healthy,None
48.6,1.2,8.7,-21.8,3,1,23.9,0,2,Healthy,None
0.0,100.0,9.3,-37.9,0,0,22.8,1,2,Fiber_Cut,Hardware
64.2,5.0,7.9,-21.7,9,1,43.6,1,5,Transport_Failure_MPLS,Software
30.0,1.6,8.8,-27.2,15,1,21.0,0,3,Healthy,None
10.5,2.3,7.8,-23.1,33,0,28.7,0,4,OLT_Failure,Hardware
0.0,100.0,6.5,-39.9,1,0,24.4,0,4,Fiber_Cut,Hardware
51.8,5.8,6.3,-23.9,1,1,24.0,1,4,Transport_Failure_MPLS,Software
0.0,100.0,8.1,-38.0,2,0,22.3,0,5,Fiber_Cut,Hardware
30.9,2.1,4.2,-24.7,37,1,41.6,1,5,OLT_Failure,Hardware
52.8,3.8,9.2,-19.7,1,1,34.2,1,2,Transport_Failure_MPLS,Software
0.0,100.0,7.6,-35.9,2,0,29.0,1,3,Fiber_Cut,Hardware
33.4,0.6,7.9,-23.2,5,1,59.4,0,3,Healthy,None
14.8,1.9,6.5,-18.5,4,1,31.9,0,3,Healthy,None
14.8,0.1,7.4,-24.3,16,1,26.0,0,3,Healthy,None
72.6,6.0,5.0,-27.9,15,0,69.8,1,5,Congestion,Software
48.7,1.0,5.1,-28.0,3,1,43.4,0,3,Healthy,None
11.5,1.1,3.3,-21.5,15,1,54.1,0,4,Healthy,None
0.0,100.0,6.0,-35.6,5,0,48.8,0,4,Fiber_Cut,Hardware
0.0,100.0,6.4,-37.9,17,0,50.1,1,5,Fiber_Cut,Hardware
75.6,3.0,2.2,-27.3,3,1,40.8,1,5,Congestion,Software
33.9,2.2,9.7,-20.5,13,1,49.3,0,4,Healthy,None
0.0,100.0,8.3,-36.5,1,0,20.7,1,5,Fiber_Cut,Hardware
0.0,100.0,8.0,-35.8,11,0,57.0,0,5,Fiber_Cut,Hardware
74.3,6.6,6.6,-19.1,2,0,29.8,0,3,Transport_Failure_MPLS,Software
41.2,1.2,7.5,-29.7,28,0,37.9,0,5,OLT_Failure,Hardware
35.6,2.2,2.9,-25.9,17,1,31.4,0,5,Healthy,None
33.2,0.9,4.4,-23.8,16,1,47.7,0,2,Healthy,None
0.0,100.0,7.7,-40.0,12,0,31.4,1,2,Fiber_Cut,Hardware
48.4,3.4,7.5,-20.4,19,1,42.4,1,4,Congestion,Software
0.0,100.0,8.9,-35.1,0,0,53.2,0,2,Fiber_Cut,Hardware
66.0,5.3,4.2,-25.9,5,0,52.5,0,5,Transport_Failure_MPLS,Software
30.6,1.5,9.6,-21.7,19,1,51.1,0,3,Healthy,None
13.1,0.8,5.9,-25.3,14,1,49.3,0,2,Healthy,None
23.3,1.8,2.9,-21.5,5,1,24.2,0,3,Healthy,None
27.7,0.3,4.5,-21.2,18,1,25.8,0,5,Healthy,None
13.3,0.1,7.4,-22.8,11,1,35.8,0,2,Healthy,None
64.8,3.7,5.6,-20.1,14,1,25.3,1,3,Transport_Failure_MPLS,Software
24.4,1.8,2.3,-19.5,6,1,28.4,0,3,Healthy,None
36.3,3.5,10.0,-20.5,3,0,59.9,1,4,Congestion,Software
40.3,2.3,9.5,-25.8,2,1,58.4,0,3,Healthy,None
23.9,1.5,4.4,-19.8,4,1,23.7,0,2,Healthy,None
0.0,100.0,4.5,-39.2,13,0,49.9,1,4,Fiber_Cut,Hardware
0.0,100.0,7.1,-36.9,13,0,26.3,1,4,Fiber_Cut,Hardware
0.0,100.0,7.5,-38.3,13,0,38.2,1,5,Fiber_Cut,Hardware
45.0,1.1,8.0,-25.5,18,1,49.2,0,5,Healthy,None
42.4,2.2,5.2,-27.1,14,1,52.2,0,3,Healthy,None
21.1,0.3,5.6,-23.7,10,1,53.1,0,3,Healthy,None
0.0,100.0,7.9,-38.9,18,0,31.1,0,5,Fiber_Cut,Hardware
0.0,100.0,5.2,-39.3,4,0,35.2,1,3,Fiber_Cut,Hardware
13.3,0.7,8.0,-20.4,16,1,49.6,0,5,Healthy,None
73.0,3.3,4.1,-19.0,14,0,44.1,1,4,Transport_Failure_MPLS,Software
12.3,1.9,4.7,-22.4,2,1,43.2,0,2,Healthy,None
63.5,5.7,3.5,-20.2,14,1,27.8,0,5,Transport_Failure_MPLS,Software
31.6,1.1,5.5,-20.5,1,1,28.7,0,4,Healthy,None
67.8,5.5,5.9,-26.0,3,1,41.0,1,3,Congestion,Software
17.5,2.2,2.5,-26.0,5,1,33.1,0,4,Healthy,None
31.6,4.6,5.1,-18.4,14,1,24.9,0,5,Transport_Failure_MPLS,Software
0.0,100.0,3.2,-37.3,2,0,55.6,1,3,Fiber_Cut,Hardware
40.9,0.2,7.7,-21.3,8,1,56.9,0,2,Healthy,None
0.0,100.0,6.8,-38.3,3,0,31.7,0,3,Fiber_Cut,Hardware
40.5,7.0,2.2,-23.1,12,1,27.0,0,5,Transport_Failure_MPLS,Software
45.2,4.6,9.9,-28.0,0,1,67.1,1,3,Congestion,Software
51.2,4.1,5.2,-27.4,2,0,32.5,1,2,Transport_Failure_MPLS,Software
44.3,0.8,9.5,-29.2,30,0,22.7,1,5,OLT_Failure,Hardware
0.0,100.0,6.7,-38.0,3,0,39.6,1,3,Fiber_Cut,Hardware
68.6,4.0,6.2,-19.5,5,1,66.8,1,5,Congestion,Software
70.0,5.8,6.5,-21.4,11,1,79.8,1,5,Congestion,Software
22.2,1.7,5.3,-23.2,6,1,59.0,0,3,Healthy,None
59.1,2.4,5.8,-22.3,6,1,48.4,1,2,Congestion,Software
18.0,1.8,4.3,-26.0,18,1,58.8,0,3,Healthy,None
0.0,100.0,2.7,-38.9,12,0,57.8,0,3,Fiber_Cut,Hardware
34.5,0.7,3.0,-23.3,12,1,42.6,0,5,Healthy,None
43.0,4.3,8.7,-20.4,4,1,76.7,0,4,Congestion,Software
51.6,4.5,4.9,-25.0,12,0,58.7,1,3,Transport_Failure_MPLS,Software
0.0,100.0,2.8,-37.2,9,0,47.4,1,5,Fiber_Cut,Hardware
36.9,5.0,2.2,-19.2,10,0,45.3,1,5,Congestion,Software
59.7,5.0,2.8,-23.3,12,1,40.0,1,3,Transport_Failure_MPLS,Software
38.0,2.4,7.9,-19.0,10,1,37.5,0,4,Healthy,None
11.6,2.4,4.0,-22.8,3,1,46.8,0,5,Healthy,None
12.0,0.2,4.7,-19.4,17,1,43.0,0,3,Healthy,None
58.2,3.7,3.1,-25.5,17,0,49.0,1,2,Transport_Failure_MPLS,Software
44.8,5.9,8.0,-20.9,9,0,57.1,0,4,Congestion,Software
30.9,2.1,3.1,-27.6,0,1,57.4,0,4,Healthy,None
19.6,1.6,2.2,-19.7,6,1,26.7,0,2,Healthy,None
49.7,4.3,4.3,-21.1,0,1,48.0,1,5,Congestion,Software
62.1,3.4,2.0,-18.5,1,0,53.9,1,5,Transport_Failure_MPLS,Software
56.9,6.9,5.2,-24.1,14,0,31.9,1,2,Transport_Failure_MPLS,Software
27.9,2.2,7.1,-33.7,22,0,57.2,1,2,OLT_Failure,Hardware
28.4,2.0,4.4,-26.9,19,1,38.4,0,3,Healthy,None
84.0,4.9,2.2,-18.5,3,1,66.7,1,5,Congestion,Software
0.0,100.0,2.6,-36.9,11,0,50.9,0,2,Fiber_Cut,Hardware
29.3,2.0,6.2,-26.5,19,0,57.1,1,4,OLT_Failure,Hardware
35.4,1.8,8.6,-28.4,43,0,31.5,1,2,OLT_Failure,Hardware
36.6,2.5,4.9,-33.8,41,0,23.3,0,2,OLT_Failure,Hardware
0.0,100.0,6.7,-38.5,3,0,55.6,0,3,Fiber_Cut,Hardware
21.3,0.3,8.9,-19.0,11,1,47.4,0,2,Healthy,None
21.5,0.1,3.6,-25.5,18,1,31.0,0,2,Healthy,None
85.0,3.2,9.5,-26.2,3,1,21.6,0,5,Transport_Failure_MPLS,Software
18.4,1.9,6.1,-27.6,4,1,42.5,0,5,Healthy,None
72.0,4.3,4.5,-18.1,17,1,36.2,0,3,Transport_Failure_MPLS,Software
54.4,4.4,3.8,-18.6,8,1,49.9,1,4,Congestion,Software
22.8,0.7,4.7,-24.0,8,1,26.2,0,3,Healthy,None
0.0,100.0,7.1,-36.2,1,0,42.6,1,5,Fiber_Cut,Hardware
38.4,2.5,5.0,-21.3,5,1,59.4,0,2,Healthy,None
34.0,0.2,8.8,-30.3,47,1,24.9,1,5,OLT_Failure,Hardware
28.7,1.2,8.8,-24.8,14,1,28.7,0,4,Healthy,None
11.1,0.7,4.9,-23.6,0,1,26.7,0,2,Healthy,None
32.7,1.2,8.8,-27.9,6,1,40.9,0,5,Healthy,None
35.7,2.0,9.5,-25.3,7,1,48.1,0,4,Healthy,None
0.0,100.0,7.7,-39.4,5,0,41.8,1,5,Fiber_Cut,Hardware
38.5,0.7,2.8,-21.0,14,1,30.8,0,2,Healthy,None
44.8,2.1,3.5,-31.8,35,0,27.6,1,3,OLT_Failure,Hardware
0.0,100.0,8.8,-38.3,13,0,55.0,1,5,Fiber_Cut,Hardware
